ID,USERNAME,PASSWORD,ROLE
1,admin,admin,Admin
2,0538458850,1971-03-25,Department Manager
3,0763720731,1990-06-29,Department Manager
4,0641774386,1972-03-31,Department Manager
5,0203772626,1993-01-09,Department Manager
6,0788077533,1989-05-17,Department Manager
7,0456019263,2001-12-10,Department Manager
8,0445408614,1989-05-05,Department Manager
9,0142295618,1968-08-07,Department Manager
10,0255755024,1984-09-13,Department Manager
11,0512760704,2006-07-29,Department Manager
12,0679138402,1999-12-06,Department Manager
13,0635363920,1987-11-11,Department Manager
14,0547294402,2003-08-01,Department Manager
15,0425595140,1970-07-12,Department Manager
16,0409033173,1997-07-02,Department Manager
17,0558173346,2000-05-28,Department Manager
18,0644128039,2002-04-08,Department Manager
19,0144061948,1981-07-05,Department Manager
20,0108866404,1964-09-07,Department Manager
21,0556010024,1988-11-21,Department Manager
22,0395742167,1986-10-21,Department Manager
23,0343170125,1993-05-29,Department Manager
24,0155155685,1991-10-12,Department Manager
25,0652778620,1990-04-11,Department Manager
26,0984900603,1964-02-03,Department Manager
27,0644089101,1975-11-11,Department Manager
28,0476259919,1994-12-19,Department Manager
29,0207894363,1969-05-26,Department Manager
30,0302712385,1990-08-17,Department Manager
31,0846061954,1976-12-19,Department Manager
32,0241792062,1965-07-13,Department Manager
33,0275291365,2001-11-30,Department Manager
34,0481278258,2002-07-07,Department Manager
35,0146268051,1965-12-22,Department Manager
36,0934944628,1991-05-30,Department Manager
37,0603648467,1986-09-04,Department Manager
38,0910469003,1984-06-18,Department Manager
39,0764510609,1984-09-18,Department Manager
40,0761579839,1997-10-01,Department Manager
41,0626645534,1978-02-23,Department Manager
42,0460459575,1974-01-09,Staff
43,0337168762,2003-11-17,Staff
44,0105683315,1983-02-11,Staff
45,0912165712,1976-07-27,Staff
46,0505901314,2003-08-21,Branch Manager
47,0210284264,1964-09-15,Branch Manager
48,0734046200,1993-05-03,Staff
49,0495921398,1981-01-19,Staff
50,0798928340,1977-08-21,Staff
51,0575236348,1990-08-21,Staff
52,0447282056,1979-10-25,Staff
53,0190534060,2000-06-25,Staff
54,0386599186,1968-11-01,Branch Manager
55,0704761756,1964-04-25,Staff
56,0653381862,2004-07-08,Staff
57,0217426701,1999-08-22,Branch Manager
58,0578194647,1998-12-26,Staff
59,0381547512,1983-04-12,Staff
60,0611121370,2002-03-08,Staff
61,0529158909,1975-03-31,Staff
62,0394948548,1991-05-21,Staff
63,0490324085,2005-03-28,Staff
64,0933342234,1990-09-20,Branch Manager
65,0465332197,1981-09-22,Branch Manager
66,0579506162,1980-10-14,Staff
67,0476843469,1993-06-22,Staff
68,0314926633,1985-09-10,Staff
69,0468974872,1986-03-21,Staff
70,0900117225,1967-05-28,Staff
71,0903192021,2004-02-28,Branch Manager
72,0424816737,1995-06-01,Staff
73,0687103264,1964-07-21,Staff
74,0348752501,1986-02-25,Staff
75,0566496127,2003-08-21,Staff
76,0625776612,1974-07-31,Staff
77,0968169448,1973-12-01,Staff
78,0153698162,1997-08-28,Staff
79,0994940116,1976-06-01,Staff
80,0656573266,1985-08-02,Staff
81,0836554515,1990-06-27,Staff
82,0198284454,1972-03-28,Staff
83,0822165599,1989-12-01,Staff
84,0510958157,1984-07-08,Staff
85,0622100701,1990-12-25,Branch Manager
86,0541198571,1990-09-24,Staff
87,0340178110,2001-06-12,Staff
88,0765504779,1977-12-27,Staff
89,0437827976,1985-11-13,Staff
90,0525576760,2002-12-17,Staff
91,0279546686,1987-12-24,Staff
92,0251310817,1988-05-24,Staff
93,0137983634,1988-12-19,Staff
94,0696202464,2005-11-16,Staff
95,0781656058,1968-08-12,Branch Manager
96,0585699162,2005-11-13,Staff
97,0551852190,1998-08-18,Staff
98,0353894401,2004-10-12,Staff
99,0596716750,1987-05-01,Staff
100,0522574570,2006-02-22,Staff
101,0874786507,1995-06-26,Branch Manager
102,0513841594,1979-02-10,Staff
103,0644421265,2003-08-17,Staff
104,0567869487,1992-09-20,Staff
105,0629677489,1988-09-01,Staff
106,0874385365,1979-03-23,Staff
107,0621455276,2000-10-12,Staff
108,0962970711,2005-12-07,Staff
109,0813556586,1971-11-24,Staff
110,0930377429,1967-05-31,Staff
111,0141288636,1972-03-08,Staff
112,0224643622,1964-08-15,Staff
113,0304400671,1996-12-05,Staff
114,0369040806,1972-02-02,Staff
115,0577272376,1967-01-27,Staff
116,0896653191,1994-10-03,Staff
117,0833870886,2005-05-21,Staff
118,0436547434,1994-03-28,Staff
119,0419161989,1980-06-02,Staff
120,0908075889,1984-07-13,Staff
121,0233139124,1984-07-01,Staff
122,0898562386,1980-03-20,Staff
123,0414427714,1976-07-24,Staff
124,0471391666,1980-11-19,Staff
125,0783300225,1989-12-26,Staff
126,0808963059,1996-10-23,Staff
127,0460819914,1967-04-09,Staff
128,0102665531,1976-12-01,Staff
129,0639519295,1986-02-12,Staff
130,0364844786,1998-06-05,Staff
131,0107767056,1968-04-23,Staff
132,0426216077,1977-08-17,Staff
133,0684055479,1988-03-24,Staff
134,0675142902,1984-08-30,Staff
135,0997923639,2000-08-06,Staff
136,0982725000,2005-08-31,Staff
137,0995416211,1989-09-01,Staff
138,0149004127,2003-11-15,Staff
139,0110080678,1993-01-16,Staff
140,0499045761,2005-09-11,Staff
141,0236605234,1965-06-07,Staff
142,0874037055,1982-10-26,Staff
143,0855558680,1995-01-31,Staff
144,0192394284,1990-10-25,Staff
145,0163651369,1993-04-22,Staff
146,0230410730,1985-03-06,Staff
147,0501840528,1996-03-07,Staff
148,0503872724,1977-06-02,Staff
149,0590866767,1992-08-07,Staff
150,0319140695,1981-05-10,Staff
151,0222967052,1966-06-28,Staff
152,0195288659,1993-09-07,Staff
153,0411641026,2003-02-11,Staff
154,0270872084,1977-04-05,Staff
155,0971524194,1995-10-10,Staff
156,0968259014,1983-01-21,Staff
157,0951932372,1966-12-22,Staff
158,0194176919,1992-11-16,Staff
159,0901281390,2001-08-18,Staff
160,0856726671,1971-12-07,Staff
161,0807544819,1988-10-20,Staff
162,0511659027,1974-06-21,Staff
163,0691856972,1999-07-08,Staff
164,0542551107,1983-06-11,Staff
165,0971798628,1998-03-21,Staff
166,0747621018,1983-07-21,Staff
167,0373237424,1966-04-17,Staff
168,0785667243,1999-04-07,Staff
169,0271662127,2001-10-14,Staff
170,0116370828,1982-08-13,Staff
171,0180132726,1989-07-24,Staff
172,0835025987,1998-04-30,Staff
173,0648628177,1986-02-28,Staff
174,0802335013,1965-11-30,Staff
175,0306798123,1992-10-06,Staff
176,0177019262,1991-07-12,Staff
177,0112580727,2002-07-04,Staff
178,0707925642,2006-09-05,Staff
179,0611025847,1965-05-10,Staff
180,0548341773,1970-12-29,Staff
181,0802067066,2003-10-15,Staff
182,0493981213,1991-12-09,Staff
183,0966320623,1970-05-29,Staff
184,0484422648,1974-06-08,Staff
185,0859328447,1999-07-29,Staff
186,0297564000,1978-08-17,Staff
187,0391890562,1966-03-10,Staff
188,0355760826,1975-10-23,Staff
189,0345694487,1995-08-09,Staff
190,0512250529,1992-01-02,Staff
191,0120566431,1997-06-14,Staff
192,0313289766,1983-04-20,Staff
193,0626486209,1990-01-17,Staff
194,0423489964,1997-02-28,Staff
195,0880457191,1985-07-09,Staff
196,0939364017,1992-05-03,Staff
197,0758613211,1999-06-11,Staff
198,0909717691,1989-12-06,Staff
199,0997772975,1991-03-08,Staff
200,0869743552,1986-10-22,Staff
201,0627891242,2001-12-16,Staff
