USERNAME,PASSWORD,ROLE
admin,$2b$12$FRlmt9I2P01M3GnPT3MBiuSZ1JG.l5Kg35ULZks5psEnlZSO4gc66,Admin
0829747588,$2b$12$B6ksWtYL39dfaRg7xceEm.KMh99fHNvJjIkMymPcgwGvPIOOYWOgS,Department Manager
0336043017,$2b$12$OTZN0ETHOaAQ7sVfQN3oDOYSTvxFaDSZlp8B3uDO5BD2UCXbqLNpy,Department Manager
0811933836,$2b$12$OZkGG1NYFgipPxAJUWJvg.6rYudXJmKjFLkQSzAeuJHGYaARF9Fzu,Department Manager
0859132820,$2b$12$rLIPGNFQju55C4rruy2H1Ozgn2E7YCTvLR/PUu.NwlOg/sOgSoHTm,Department Manager
0599724997,$2b$12$2ruVHOBsqUxggtwkauoIoeu4.pESm2RvqZ5LsArD1jGtxGTtJKwxm,Department Manager
0828008497,$2b$12$txQZyHQTk8903rOEFXoEXeYZcviSc74V9Phr8A/YDk6/LDTseR3pK,Department Manager
0945875613,$2b$12$T/1ACEAvI0hxVSuJ2IB7y.6b4.xPVcBGzjjyRKXtvQp9/GVl4DbFq,Department Manager
0997186923,$2b$12$sq7DtYQR58fezZLvsqTeEewrrwiL5uRGMNLObSNYRKR7iv7pjkXWy,Department Manager
0354324697,$2b$12$O/HhfvCfh3Q0GVLJOex71euzRAaie8npzmwLLUTPnGdlndOsiGImK,Department Manager
0780359210,$2b$12$IXQz9J3NBXw0E/qCSW8HOuTzDM9DNF2UvpJnKddyxdyUzMXtN4d9.,Department Manager
0900423696,$2b$12$oqWMgALABGhGget3LGV6F.o68Lnx37Wr/NOBLffjOZSPNnbWZJEHy,Department Manager
0972397380,$2b$12$dJaZZ9nYp6Lfubheho.RR.on7pCZVrhMLlut26riNGAa8E2f3bv0.,Department Manager
0925617974,$2b$12$IViyaTlXJfPV0LuYhF9C/.X0J1CSMI6Z.Q9MdjTMEaJOyc5l0mspO,Department Manager
0917164561,$2b$12$4zrkz1/BZt5nEjgUM9Gp2OtaLkNhIhjLaXwhFlk.9tukbp.Buh1Di,Department Manager
0833167655,$2b$12$7G2z7elhOsgG6uisMxSVrOidst.70eeZ3z6LuTd9Pvy.UnHeneRHS,Department Manager
0384526716,$2b$12$fwO2WaIIBajtD41S3j920ujB4NcSkQA4uP2qwINp4yjKZeMcmwLS6,Department Manager
0786513246,$2b$12$AhZn1V/h7NtsLKHHGMaV1uKu88XpUoKixZZiMCLZM9y5cr6SVXJOm,Department Manager
0788803671,$2b$12$WlQOMzczjHmpPfHDJa43juEsqV51pXQSDoDeRnnIge6KtkplHkOZG,Department Manager
0848041981,$2b$12$zlHn6NYLh16m7gjSXPF2/uyaVDJLk8PJLYVbPXEkeOhyOb0xx2sAq,Department Manager
0947274946,$2b$12$zy6/NtckP.i.plqqW3te9Ol9RwzQjydD5VBTOv885rm5XbZKKH.rC,Department Manager
0791977822,$2b$12$geiwG.32P7PZ6C/msnA9qeqt.mchikUBQcBduBu5XvhEVZHh50ClG,Department Manager
0788870578,$2b$12$kjlynrROxlW.wycLyOyz..bhgcDSSQwkCPxcM5RhW0NS9TOu5ZoCC,Department Manager
0978183635,$2b$12$XU8fB4EV6wTU.vg4l9wa/.pDzrvqeMZXFkDMHhmIVkMC.WpWD0/MG,Department Manager
0909597168,$2b$12$EUbmLD50KAtOCzL/ld2fyuaTr8D/U9eRMv0B4WlnU1Z3E8SG.G5ei,Department Manager
0373833991,$2b$12$.kRbUxc2oYc7SlGNKtnoS.rgOOYKrRGYWekuLSAbNbDx0kvdeISSW,Department Manager
0388973574,$2b$12$WqcMbRPw8hTcM/vSIT45aOZLkft47An2VNKMrsVcZeCf4Lz49EKj2,Department Manager
0889513993,$2b$12$skR0DTTXy.yVzmNOxcK3lu5S3yj4Mqk7TcM1tKpWdlvVEgcvTybIO,Department Manager
0825502887,$2b$12$p1DXiQREyF6G5gTIoDuJ0OXXNjeTCgREP31KHW6bJ7HBw5AdfVE8a,Department Manager
0596978798,$2b$12$LrFh.Ly64sKXFYH61ct9Xu/BGdtmUwBUVvDPCvRHDV3eGbs10wSDy,Department Manager
0836655802,$2b$12$U.EhPQA85qj871hwR0EiqO684tcKIOprCSJXi/RDm7AS7lkalNn/a,Department Manager
0820107850,$2b$12$eBAX052GPxOkUUiEzTp29.DyKNJnd4fNBipOArLHu/JwulaCTyDxu,Department Manager
