MAKHACHHANG,HOTEN,SDT,EMAIL,CCCD
KH00000001,Justin Brown,0348333447,davidwest@example.net,022124100669
KH00000002,Alexandra Oneal,0568556522,mmunoz@example.com,470461914761
KH00000003,Robert Smith,0503006571,marie11@example.org,505338173760
KH00000004,Kathleen Wright,0918706262,lopezaimee@example.net,010700696005
KH00000005,Christina Nguyen,0132389972,susantorres@example.net,686364611742
KH00000006,Jimmy Hess,0193485977,usmith@example.org,455217653588
KH00000007,Sandra Nash,0634982454,mterry@example.org,708582066834
KH00000008,Christopher Moody,0451435506,martinezscott@example.net,464651038193
KH00000009,Virginia Cruz,0666953526,alyssa46@example.com,344815579313
KH00000010,April Reynolds,0345906078,mhoover@example.com,721340447986
KH00000011,Maria Stevens,0714820147,mary89@example.com,404883995025
KH00000012,Michael Serrano,0710950950,angela78@example.org,025076227916
KH00000013,Ariel Marsh,0207434673,littlemark@example.net,166145194663
KH00000014,Bianca Young,0295633423,elizabethyoung@example.com,979710110964
KH00000015,Benjamin Mcneil,0195871797,cameronbarbara@example.org,434671134227
KH00000016,Matthew Woodard,0261013537,hernandezstephanie@example.net,056606494556
KH00000017,Lydia Calderon,0921734129,victor98@example.net,837625742321
KH00000018,Matthew Smith,0541399812,alexandralogan@example.com,360521494971
KH00000019,Amber Walker,0474215430,elizabeth96@example.org,796813868431
KH00000020,Shelly Mitchell,0940291242,lchandler@example.com,485678894217
KH00000021,Judy Henderson,0964551560,jenniferjohnson@example.net,397720717475
KH00000022,William Gutierrez,0995351140,dharris@example.org,938488621074
KH00000023,Laura Stanley,0364514810,fmorris@example.com,984837985198
KH00000024,Barbara Zhang,0315973485,dcox@example.org,538499153955
KH00000025,Ralph Jennings,0715409696,mlittle@example.net,322378264996
KH00000026,Lisa Ware,0107783295,stacy80@example.net,847716793865
KH00000027,Adam Smith,0942492269,aherrera@example.org,509959926068
KH00000028,Julie Beltran,0241202699,michaelcohen@example.net,184909187422
KH00000029,Chelsea Dillon,0855653449,yatesmichael@example.org,441737969109
